Year,Month,Sea Ice Pixels,Ocean Pixels,Ocean + Ice Pixels,Land Pixels,Coast Pixels,Sea Ice Area (km²),Sea Ice Area (Million km²),Sea Ice (%)
2005,May,18949,7937,26886,25776,2850,12119407.350771558,12.119407350771558,70.47905973369039
2005,June,16949,9937,26886,25776,2850,10883695.432283433,10.883695432283433,63.04024399315629
2005,July,13890,12996,26886,25776,2850,8986564.748972116,8.986564748972116,51.662575318009374
2005,August,9705,17181,26886,25776,2850,6324402.979923233,6.324402979923233,36.09685338094175
2005,September,8568,18318,26886,25776,2850,5593456.258772047,5.593456258772047,31.867886632448116
2006,March,19748,7138,26886,25776,2850,12594714.21719541,12.59471421719541,73.45086662203377
2006,April,19596,7290,26886,25776,2850,12490792.411129223,12.490792411129224,72.88551662575318
2006,May,18403,8483,26886,25776,2850,11752214.645414036,11.752214645414035,68.44826303652458
2006,June,16502,10384,26886,25776,2850,10599504.01600976,10.599504016009758,61.377668675146914
2006,July,13432,13454,26886,25776,2850,8687842.141043171,8.687842141043172,49.95908651342707
2006,August,10071,16815,26886,25776,2850,6556978.9755039215,6.556978975503921,37.4581566614595
2006,September,9106,17780,26886,25776,2850,5949492.802342968,5.949492802342968,33.86892806665179
2007,March,19460,7426,26886,25776,2850,12408304.272285711,12.408304272285712,72.37967715539686
2007,April,19340,7546,26886,25776,2850,12341304.609630087,12.341304609630088,71.93334821096481
2007,May,18575,8311,26886,25776,2850,11877533.118608844,11.877533118608843,69.08800119021052
2007,June,16991,9895,26886,25776,2850,10905670.183736645,10.905670183736644,63.196459123707506
2007,July,12622,14264,26886,25776,2850,8181573.674256848,8.181573674256848,46.94636613851075
2007,August,8271,18615,26886,25776,2850,5402418.944193754,5.402418944193754,30.7632224949788
2007,September,6605,20281,26886,25776,2850,4324050.155839348,4.324050155839348,24.566688983113888
2008,March,19894,6992,26886,25776,2850,12666231.43814245,12.66623143814245,73.99390017109276
2008,April,19776,7110,26886,25776,2850,12605482.932525186,12.605482932525186,73.55501004240125
2008,May,18998,7888,26886,25776,2850,12135101.696651593,12.135101696651592,70.66131071933349
2008,June,16943,9943,26886,25776,2850,10884736.249907523,10.884736249907524,63.01792754593468
2008,July,13629,13257,26886,25776,2850,8825846.438513406,8.825846438513405,50.69180986386967
